bairro,tipologia,k_inf,k_sup,pct_corte_baixo,pct_corte_alto,escrituras
HONÓRIO GURGEL,Casa,2.0,2.5,0.00,0.00,12
HONÓRIO GURGEL,Casa,2.5,3.0,0.00,0.00,12
HONÓRIO GURGEL,Casa,3.0,3.5,0.00,0.00,12
HUMAITÁ,Apartamento,2.0,2.5,1.69,8.17,355
HUMAITÁ,Apartamento,2.5,3.0,0.00,7.61,355
HUMAITÁ,Apartamento,3.0,3.5,0.00,5.92,355
HUMAITÁ,Casa,2.0,2.5,0.00,0.00,8
HUMAITÁ,Casa,2.5,3.0,0.00,0.00,8
HUMAITÁ,Casa,3.0,3.5,0.00,0.00,8
INHAÚMA,Apartamento,2.0,2.5,0.00,0.00,15
INHAÚMA,Apartamento,2.5,3.0,0.00,0.00,15
INHAÚMA,Apartamento,3.0,3.5,0.00,0.00,15
INHAÚMA,Casa,2.0,2.5,16.67,0.00,12
INHAÚMA,Casa,2.5,3.0,16.67,0.00,12
INHAÚMA,Casa,3.0,3.5,0.00,0.00,12
INHOAÍBA,Apartamento,2.0,2.5,8.16,0.00,98
INHOAÍBA,Apartamento,2.5,3.0,8.16,0.00,98
INHOAÍBA,Apartamento,3.0,3.5,8.16,0.00,98
INHOAÍBA,Casa,2.0,2.5,0.00,0.00,2
INHOAÍBA,Casa,2.5,3.0,0.00,0.00,2
INHOAÍBA,Casa,3.0,3.5,0.00,0.00,2
IPANEMA,Apartamento,2.0,2.5,1.56,4.94,2246
IPANEMA,Apartamento,2.5,3.0,1.20,2.23,2246
IPANEMA,Apartamento,3.0,3.5,0.22,0.85,2246
IPANEMA,Comercial,2.0,2.5,0.00,0.00,2
IPANEMA,Comercial,2.5,3.0,0.00,0.00,2
IPANEMA,Comercial,3.0,3.5,0.00,0.00,2
IRAJÁ,Apartamento,2.0,2.5,6.64,0.00,602
IRAJÁ,Apartamento,2.5,3.0,3.65,0.00,602
IRAJÁ,Apartamento,3.0,3.5,2.33,0.00,602
IRAJÁ,Casa,2.0,2.5,0.00,0.00,40
IRAJÁ,Casa,2.5,3.0,0.00,0.00,40
IRAJÁ,Casa,3.0,3.5,0.00,0.00,40
ITANHANGÁ,Apartamento,2.0,2.5,8.00,20.00,25
ITANHANGÁ,Apartamento,2.5,3.0,8.00,20.00,25
ITANHANGÁ,Apartamento,3.0,3.5,0.00,20.00,25
ITANHANGÁ,Casa,2.0,2.5,20.00,0.00,10
ITANHANGÁ,Casa,2.5,3.0,0.00,0.00,10
ITANHANGÁ,Casa,3.0,3.5,0.00,0.00,10
JABOUR,Apartamento,2.0,2.5,0.00,0.00,4
JABOUR,Apartamento,2.5,3.0,0.00,0.00,4
JABOUR,Apartamento,3.0,3.5,0.00,0.00,4
JACARÉ,Apartamento,2.0,2.5,0.00,0.00,16
JACARÉ,Apartamento,2.5,3.0,0.00,0.00,16
JACARÉ,Apartamento,3.0,3.5,0.00,0.00,16
JACAREPAGUÁ,Apartamento,2.0,2.5,0.63,0.00,3814
JACAREPAGUÁ,Apartamento,2.5,3.0,0.58,0.00,3814
JACAREPAGUÁ,Apartamento,3.0,3.5,0.24,0.00,3814
JACAREPAGUÁ,Casa,2.0,2.5,29.17,0.00,24
JACAREPAGUÁ,Casa,2.5,3.0,29.17,0.00,24
JACAREPAGUÁ,Casa,3.0,3.5,29.17,0.00,24
JARDIM AMÉRICA,Apartamento,2.0,2.5,0.00,0.00,6
JARDIM AMÉRICA,Apartamento,2.5,3.0,0.00,0.00,6
JARDIM AMÉRICA,Apartamento,3.0,3.5,0.00,0.00,6
JARDIM AMÉRICA,Casa,2.0,2.5,7.69,0.00,26
JARDIM AMÉRICA,Casa,2.5,3.0,0.00,0.00,26
JARDIM AMÉRICA,Casa,3.0,3.5,0.00,0.00,26
JARDIM BOTÂNICO,Apartamento,2.0,2.5,3.62,1.67,359
JARDIM BOTÂNICO,Apartamento,2.5,3.0,1.67,0.00,359
JARDIM BOTÂNICO,Apartamento,3.0,3.5,1.67,0.00,359
JARDIM BOTÂNICO,Casa,2.0,2.5,0.00,0.00,19
JARDIM BOTÂNICO,Casa,2.5,3.0,0.00,0.00,19
JARDIM BOTÂNICO,Casa,3.0,3.5,0.00,0.00,19
JARDIM CARIOCA,Apartamento,2.0,2.5,15.79,0.00,38
JARDIM CARIOCA,Apartamento,2.5,3.0,15.79,0.00,38
JARDIM CARIOCA,Apartamento,3.0,3.5,10.53,0.00,38
JARDIM CARIOCA,Casa,2.0,2.5,0.00,0.00,6
JARDIM CARIOCA,Casa,2.5,3.0,0.00,0.00,6
JARDIM CARIOCA,Casa,3.0,3.5,0.00,0.00,6
JARDIM GUANABARA,Apartamento,2.0,2.5,1.78,0.59,337
JARDIM GUANABARA,Apartamento,2.5,3.0,1.19,0.00,337
JARDIM GUANABARA,Apartamento,3.0,3.5,0.00,0.00,337
JARDIM GUANABARA,Casa,2.0,2.5,0.00,0.00,21
JARDIM GUANABARA,Casa,2.5,3.0,0.00,0.00,21
JARDIM GUANABARA,Casa,3.0,3.5,0.00,0.00,21
JARDIM SULACAP,Apartamento,2.0,2.5,2.13,0.00,94
JARDIM SULACAP,Apartamento,2.5,3.0,2.13,0.00,94
JARDIM SULACAP,Apartamento,3.0,3.5,2.13,0.00,94
JARDIM SULACAP,Casa,2.0,2.5,10.00,0.00,20
JARDIM SULACAP,Casa,2.5,3.0,10.00,0.00,20
JARDIM SULACAP,Casa,3.0,3.5,10.00,0.00,20
JOÁ,Apartamento,2.0,2.5,0.00,0.00,4
JOÁ,Apartamento,2.5,3.0,0.00,0.00,4
JOÁ,Apartamento,3.0,3.5,0.00,0.00,4
LAGOA,Apartamento,2.0,2.5,0.58,0.00,519
LAGOA,Apartamento,2.5,3.0,0.00,0.00,519
LAGOA,Apartamento,3.0,3.5,0.00,0.00,519
LAPA,Apartamento,2.0,2.5,0.00,0.00,2
LAPA,Apartamento,2.5,3.0,0.00,0.00,2
LAPA,Apartamento,3.0,3.5,0.00,0.00,2
LARANJEIRAS,Apartamento,2.0,2.5,3.19,4.06,1381
LARANJEIRAS,Apartamento,2.5,3.0,2.32,2.82,1381
LARANJEIRAS,Apartamento,3.0,3.5,1.38,2.17,1381
LARANJEIRAS,Casa,2.0,2.5,0.00,0.00,8
LARANJEIRAS,Casa,2.5,3.0,0.00,0.00,8
LARANJEIRAS,Casa,3.0,3.5,0.00,0.00,8
LEBLON,Apartamento,2.0,2.5,0.72,2.69,1523
LEBLON,Apartamento,2.5,3.0,0.00,1.44,1523
LEBLON,Apartamento,3.0,3.5,0.00,0.92,1523
LEME,Apartamento,2.0,2.5,0.00,11.29,425
LEME,Apartamento,2.5,3.0,0.00,4.94,425
LEME,Apartamento,3.0,3.5,0.00,0.00,425
LINS DE VASCONCELOS,Apartamento,2.0,2.5,1.99,3.98,201
LINS DE VASCONCELOS,Apartamento,2.5,3.0,0.00,2.99,201
LINS DE VASCONCELOS,Apartamento,3.0,3.5,0.00,2.99,201
LINS DE VASCONCELOS,Casa,2.0,2.5,0.00,0.00,13
LINS DE VASCONCELOS,Casa,2.5,3.0,0.00,0.00,13
LINS DE VASCONCELOS,Casa,3.0,3.5,0.00,0.00,13
MADUREIRA,Apartamento,2.0,2.5,0.00,0.00,68
MADUREIRA,Apartamento,2.5,3.0,0.00,0.00,68
MADUREIRA,Apartamento,3.0,3.5,0.00,0.00,68
MADUREIRA,Casa,2.0,2.5,19.05,0.00,21
MADUREIRA,Casa,2.5,3.0,9.52,0.00,21
