bairro,tipologia,k_inf,k_sup,escrituras,pct_corte_baixo,pct_corte_alto,mediana_m2,cerca_inferior_m2,cerca_superior_m2
MADUREIRA,Apartamento,2.5,3.0,130,,,3014,1471,7128
MADUREIRA,Apartamento,3.0,3.5,130,,,3014,1275,8228
SANTA TERESA,Apartamento,2.0,2.5,127,,1.57,4095,2629,7128
SANTA TERESA,Apartamento,2.5,3.0,127,,,4095,2353,7963
SANTA TERESA,Apartamento,3.0,3.5,127,,,4095,2106,8897
ÁGUA SANTA,Apartamento,2.0,2.5,123,5.69,4.07,3190,2664,3996
ÁGUA SANTA,Apartamento,2.5,3.0,123,5.69,4.07,3190,2546,4181
ÁGUA SANTA,Apartamento,3.0,3.5,123,4.07,4.07,3190,2434,4373
FREGUESIA (JACAREPAGUÁ),Casa,2.0,2.5,112,3.57,,3408,1863,7250
FREGUESIA (JACAREPAGUÁ),Casa,2.5,3.0,112,1.79,,3408,1602,8432
FREGUESIA (JACAREPAGUÁ),Casa,3.0,3.5,112,,,3408,1378,9805
RIACHUELO,Apartamento,2.0,2.5,112,3.57,2.68,3237,2333,4873
RIACHUELO,Apartamento,2.5,3.0,112,,2.68,3237,2150,5288
RIACHUELO,Apartamento,3.0,3.5,112,,,3237,1981,5739
BRÁS DE PINA,Apartamento,2.0,2.5,108,5.56,,3610,2423,5944
BRÁS DE PINA,Apartamento,2.5,3.0,108,1.85,,3610,2193,6568
BRÁS DE PINA,Apartamento,3.0,3.5,108,,,3610,1985,7257
GUARATIBA,Apartamento,2.0,2.5,99,2.02,2.02,2586,1968,3638
GUARATIBA,Apartamento,2.5,3.0,99,2.02,2.02,2586,1838,3895
GUARATIBA,Apartamento,3.0,3.5,99,2.02,,2586,1717,4170
QUINTINO BOCAIÚVA,Apartamento,2.0,2.5,97,12.37,,3359,2504,4851
QUINTINO BOCAIÚVA,Apartamento,2.5,3.0,97,10.31,,3359,2327,5220
QUINTINO BOCAIÚVA,Apartamento,3.0,3.5,97,6.19,,3359,2162,5618
TAQUARA,Casa,2.0,2.5,96,,,2574,1603,4654
TAQUARA,Casa,2.5,3.0,96,,,2574,1424,5239
TAQUARA,Casa,3.0,3.5,96,,,2574,1265,5898
BANGU,Apartamento,2.0,2.5,94,8.51,,3232,2407,4673
BANGU,Apartamento,2.5,3.0,94,4.26,,3232,2235,5031
BANGU,Apartamento,3.0,3.5,94,,,3232,2077,5416
COPACABANA,Comercial,2.0,2.5,92,7.61,,6051,4814,8052
COPACABANA,Comercial,2.5,3.0,92,,,6051,4547,8525
COPACABANA,Comercial,3.0,3.5,92,,,6051,4294,9027
VARGEM GRANDE,Casa,2.0,2.5,88,4.55,,3651,2787,5116
VARGEM GRANDE,Casa,2.5,3.0,88,2.27,,3651,2605,5473
VARGEM GRANDE,Casa,3.0,3.5,88,,,3651,2435,5855
PRAÇA SECA,Casa,2.0,2.5,86,,3.49,1549,1094,2390
PRAÇA SECA,Casa,2.5,3.0,86,,3.49,1549,1003,2607
PRAÇA SECA,Casa,3.0,3.5,86,,3.49,1549,920,2843
REALENGO,Apartamento,2.0,2.5,86,2.33,,2676,2061,3709
REALENGO,Apartamento,2.5,3.0,86,2.33,,2676,1931,3959
REALENGO,Apartamento,3.0,3.5,86,2.33,,2676,1809,4226
TAUÁ,Apartamento,2.0,2.5,84,2.38,,3581,2505,5599
TAUÁ,Apartamento,2.5,3.0,84,,,3581,2290,6122
TAUÁ,Apartamento,3.0,3.5,84,,,3581,2095,6694
PECHINCHA,Casa,2.0,2.5,79,8.86,,2622,1553,5049
PECHINCHA,Casa,2.5,3.0,79,2.53,,2622,1362,5756
PECHINCHA,Casa,3.0,3.5,79,,,2622,1195,6562
COSME VELHO,Apartamento,2.0,2.5,77,2.60,,9279,7536,12036
COSME VELHO,Apartamento,2.5,3.0,77,,,9279,7154,12678
COSME VELHO,Apartamento,3.0,3.5,77,,,9279,6791,13355
MONERÓ,Apartamento,2.0,2.5,73,,,4125,2624,7260
MONERÓ,Apartamento,2.5,3.0,73,,,4125,2343,8129
MONERÓ,Apartamento,3.0,3.5,73,,,4125,2093,9102
COSMOS,Apartamento,2.0,2.5,72,13.89,5.56,2445,2311,2623
